model,dataset,attacker,status
mobilenetv2,cifar10,random_walk,done
mobilenetv2,cifar10,cmaes_fullparam,done
mobilenetv2,tinyimagenet,random_walk,done
mobilenetv2,tinyimagenet,cmaes_fullparam,done
mobilenetv2,imagenetmini,random_walk,done
mobilenetv2,imagenetmini,cmaes_fullparam,done
mobilenetv2,synthetic,random_walk,done
mobilenetv2,synthetic,cmaes_fullparam,done
squeezenet,cifar10,random_walk,done
squeezenet,cifar10,cmaes_fullparam,done
squeezenet,tinyimagenet,random_walk,done
squeezenet,tinyimagenet,cmaes_fullparam,done
squeezenet,imagenetmini,random_walk,done
squeezenet,imagenetmini,cmaes_fullparam,done
squeezenet,synthetic,random_walk,done
squeezenet,synthetic,cmaes_fullparam,done
resnet18,cifar10,random_walk,done
resnet18,cifar10,cmaes_fullparam,done
resnet18,tinyimagenet,random_walk,done
resnet18,tinyimagenet,cmaes_fullparam,done
resnet18,imagenetmini,random_walk,done
resnet18,imagenetmini,cmaes_fullparam,done
resnet18,synthetic,random_walk,done
resnet18,synthetic,cmaes_fullparam,done
efficientnet,cifar10,random_walk,done
efficientnet,cifar10,cmaes_fullparam,done
efficientnet,tinyimagenet,random_walk,done
efficientnet,tinyimagenet,cmaes_fullparam,done
