model,dataset,attacker,best_D,n_queries
mobilenetv2,cifar10,random_walk,,0
mobilenetv2,cifar10,cmaes_fullparam,0.062322561247957736,128
mobilenetv2,tinyimagenet,random_walk,0.01731732351656028,100
mobilenetv2,tinyimagenet,cmaes_fullparam,0.02117178691212468,128
mobilenetv2,imagenetmini,random_walk,0.044854680010891816,100
mobilenetv2,imagenetmini,cmaes_fullparam,0.024957232930663723,128
mobilenetv2,synthetic,random_walk,0.04584970330152861,100
mobilenetv2,synthetic,cmaes_fullparam,0.08266907282394516,128
squeezenet,cifar10,random_walk,0.03370005361713848,100
squeezenet,cifar10,cmaes_fullparam,0.020756248959292112,200
squeezenet,tinyimagenet,random_walk,0.07300971470330579,100
squeezenet,tinyimagenet,cmaes_fullparam,0.01776426028821125,200
squeezenet,imagenetmini,random_walk,0.06010099313317567,100
squeezenet,imagenetmini,cmaes_fullparam,0.018946927692981192,200
squeezenet,synthetic,random_walk,0.030956874866223023,100
squeezenet,synthetic,cmaes_fullparam,0.04584065568720936,200
resnet18,cifar10,random_walk,0.055368253493281436,97
resnet18,cifar10,cmaes_fullparam,0.009385556052993953,64
resnet18,tinyimagenet,random_walk,0.20091655013585732,96
resnet18,tinyimagenet,cmaes_fullparam,0.07474728880652157,64
resnet18,imagenetmini,random_walk,0.06642135465483527,95
resnet18,imagenetmini,cmaes_fullparam,0.09506334085456992,64
resnet18,synthetic,random_walk,0.01521476363936354,96
resnet18,synthetic,cmaes_fullparam,0.007058852798061616,64
efficientnet,cifar10,random_walk,0.01413600048732183,100
efficientnet,cifar10,cmaes_fullparam,0.06672522216352027,88
efficientnet,tinyimagenet,random_walk,0.009808787441108312,100
efficientnet,tinyimagenet,cmaes_fullparam,0.02854452503809467,80
