model,dataset,patch_size,rep,timing_D
mobilenetv2,cifar10,20,0,3.9385233423188573
mobilenetv2,cifar10,20,1,0.5340126611153867
mobilenetv2,cifar10,20,2,0.5153443919351295
mobilenetv2,cifar10,20,3,1.1108797615455717
mobilenetv2,cifar10,20,4,0.3863345794631621
mobilenetv2,cifar10,50,0,1.9230590142025592
mobilenetv2,cifar10,50,1,4.958876481757935
mobilenetv2,cifar10,50,2,0.4448158487208335
mobilenetv2,cifar10,50,3,0.7218200453104243
mobilenetv2,cifar10,50,4,2.7720765551895035
mobilenetv2,cifar10,80,0,1.342359530443529
mobilenetv2,cifar10,80,1,1.9898473525195954
mobilenetv2,cifar10,80,2,4.004377083175608
mobilenetv2,cifar10,80,3,2.9110752584788497
mobilenetv2,cifar10,80,4,0.3999833705779628
mobilenetv2,cifar10,112,0,0.7893780525768914
mobilenetv2,cifar10,112,1,0.48916171120853047
mobilenetv2,cifar10,112,2,1.0214048820190376
mobilenetv2,cifar10,112,3,3.137418351700905
mobilenetv2,cifar10,112,4,0.5523236329432922
mobilenetv2,tinyimagenet,20,0,0.7970008051294535
mobilenetv2,tinyimagenet,20,1,0.0862631896577132
mobilenetv2,tinyimagenet,20,2,1.2115031459299992
mobilenetv2,tinyimagenet,20,3,1.6295918795932802
mobilenetv2,tinyimagenet,20,4,0.4541005679720538
mobilenetv2,tinyimagenet,50,0,0.2189988522305512
mobilenetv2,tinyimagenet,50,1,0.12485335214817803
mobilenetv2,tinyimagenet,50,2,0.16108307048854417
mobilenetv2,tinyimagenet,50,3,2.1601747811120364
mobilenetv2,tinyimagenet,50,4,1.0488497910536838
mobilenetv2,tinyimagenet,80,0,0.9641390003934561
mobilenetv2,tinyimagenet,80,1,0.11787172915461444
mobilenetv2,tinyimagenet,80,2,0.23056881570121227
mobilenetv2,tinyimagenet,80,3,0.9310562832171061
mobilenetv2,tinyimagenet,80,4,0.32474890729710143
mobilenetv2,tinyimagenet,112,0,0.2677136580407202
mobilenetv2,tinyimagenet,112,1,0.22925046387055256
mobilenetv2,tinyimagenet,112,2,0.2120996881869455
mobilenetv2,tinyimagenet,112,3,0.36882369330555637
mobilenetv2,tinyimagenet,112,4,0.7323522459064342
mobilenetv2,imagenetmini,20,0,1.0327794030511026
mobilenetv2,imagenetmini,20,1,0.132030923630441
mobilenetv2,imagenetmini,20,2,0.9425115776961985
mobilenetv2,imagenetmini,20,3,0.475315303717656
mobilenetv2,imagenetmini,20,4,0.03717527367758852
mobilenetv2,imagenetmini,50,0,1.598586733234187
mobilenetv2,imagenetmini,50,1,0.29258838074525934
mobilenetv2,imagenetmini,50,2,0.3539140353883763
mobilenetv2,imagenetmini,50,3,0.10759231420031483
mobilenetv2,imagenetmini,50,4,1.1453677914398335
mobilenetv2,imagenetmini,80,0,0.3093258014779603
mobilenetv2,imagenetmini,80,1,0.11518254961395293
mobilenetv2,imagenetmini,80,2,1.6223304281023248
mobilenetv2,imagenetmini,80,3,0.04557429234903679
mobilenetv2,imagenetmini,80,4,0.04311555661056951
mobilenetv2,imagenetmini,112,0,1.073303747404977
mobilenetv2,imagenetmini,112,1,2.876077251392768
mobilenetv2,imagenetmini,112,2,0.407692943563295
mobilenetv2,imagenetmini,112,3,0.254914518669041
mobilenetv2,imagenetmini,112,4,1.0232935105097098
mobilenetv2,synthetic,20,0,2.208356817416682
mobilenetv2,synthetic,20,1,0.7297487173446681
mobilenetv2,synthetic,20,2,0.07262140611733066
mobilenetv2,synthetic,20,3,1.1692353875940054
mobilenetv2,synthetic,20,4,1.1784752330395605
mobilenetv2,synthetic,50,0,10.61621090516948
mobilenetv2,synthetic,50,1,0.5960320532004627
mobilenetv2,synthetic,50,2,0.34166247719398024
mobilenetv2,synthetic,50,3,1.4767612805546397
mobilenetv2,synthetic,50,4,1.2357640765906934
mobilenetv2,synthetic,80,0,0.6860461131461365
mobilenetv2,synthetic,80,1,1.119775221195518
mobilenetv2,synthetic,80,2,0.5908122757723757
mobilenetv2,synthetic,80,3,1.263181892259589
mobilenetv2,synthetic,80,4,0.8728485423871777
mobilenetv2,synthetic,112,0,1.4176582918754022
mobilenetv2,synthetic,112,1,1.7434712826021213
mobilenetv2,synthetic,112,2,0.3945644483327392
mobilenetv2,synthetic,112,3,1.885537917621281
mobilenetv2,synthetic,112,4,1.2052521270350502
squeezenet,cifar10,20,0,1.5027851556388134
squeezenet,cifar10,20,1,1.0732973822617284
squeezenet,cifar10,20,2,0.3195937756213743
squeezenet,cifar10,20,3,1.1868687992037479
squeezenet,cifar10,20,4,0.635818472860694
squeezenet,cifar10,50,0,0.4355727362695072
squeezenet,cifar10,50,1,1.049001772971284
squeezenet,cifar10,50,2,1.0790527354255217
squeezenet,cifar10,50,3,1.298920861661947
squeezenet,cifar10,50,4,1.7652323813020119
squeezenet,cifar10,80,0,1.030884225722178
squeezenet,cifar10,80,1,1.6758495638566553
squeezenet,cifar10,80,2,1.6925326920949662
squeezenet,cifar10,80,3,1.02370723092511
squeezenet,cifar10,80,4,0.36954348684992044
