model,dataset,patch_size,mean,median,std
efficientnet,cifar10,20,5.313355443043521,5.043627669048966,0.6483446434870056
efficientnet,cifar10,50,3.72218806507293,3.910459591978859,1.3507745503033397
efficientnet,cifar10,80,4.933284447585084,4.914752552557214,2.0653023485472626
efficientnet,cifar10,112,5.351046279202288,5.057616472027422,0.8133906466295217
efficientnet,imagenetmini,20,4.611786377451156,4.438876232943273,0.7587296764803595
efficientnet,imagenetmini,50,4.288365752077873,4.336540383805559,0.9634730800351149
efficientnet,imagenetmini,80,4.801286990120379,4.971015866938686,0.2852926985302906
efficientnet,imagenetmini,112,3.8779959558717096,4.1235727790990255,1.2281954553524554
efficientnet,synthetic,20,2.297898443439171,2.859918047088361,1.078063138912909
efficientnet,synthetic,50,2.629230442027745,2.431883335967353,1.688774431141369
efficientnet,synthetic,80,2.1030456159503124,2.335048481313436,0.7146149750664893
efficientnet,synthetic,112,1.6264319431893977,1.9988436080612653,0.9320148997501212
efficientnet,tinyimagenet,20,6.68883385098933,6.881083722680535,0.6931911611201551
efficientnet,tinyimagenet,50,6.35689746018218,6.36188738718224,0.8521018635204392
efficientnet,tinyimagenet,80,5.341299904783349,5.335267158423713,0.5136198358517718
efficientnet,tinyimagenet,112,4.5512061456062956,4.5073193739131066,0.9014499276369861
mobilenetv2,cifar10,20,1.2970189472756215,0.5340126611153867,1.5028916283669411
mobilenetv2,cifar10,50,2.164129589036251,1.9230590142025592,1.8217176844700094
mobilenetv2,cifar10,80,2.1295285190391087,1.9898473525195957,1.3925107459034123
mobilenetv2,cifar10,112,1.1979373260897312,0.7893780525768914,1.1044060559319986
mobilenetv2,imagenetmini,20,0.5239624963545972,0.475315303717656,0.4547022886579692
mobilenetv2,imagenetmini,50,0.6996098510015942,0.3539140353883763,0.6408034828078623
mobilenetv2,imagenetmini,80,0.4271057256307689,0.1151825496139529,0.6768945545936702
mobilenetv2,imagenetmini,112,1.1270563943079581,1.0232935105097098,1.0429339944516054
mobilenetv2,synthetic,20,1.0716875123024494,1.1692353875940054,0.7791006896557195
mobilenetv2,synthetic,50,2.853286158541851,1.2357640765906934,4.363990394693511
mobilenetv2,synthetic,80,0.9065328089521595,0.8728485423871777,0.28376899183852067
mobilenetv2,synthetic,112,1.3292968134933187,1.4176582918754022,0.5869122775939649
mobilenetv2,tinyimagenet,20,0.8356919176565001,0.7970008051294535,0.6083304216361604
mobilenetv2,tinyimagenet,50,0.7427919694065988,0.2189988522305512,0.8799485826583955
mobilenetv2,tinyimagenet,80,0.5136769471526981,0.3247489072971014,0.4029973202502672
mobilenetv2,tinyimagenet,112,0.36204794986204175,0.2677136580407202,0.21574857731084726
resnet18,cifar10,20,3.779050392345733,3.780054167846586,0.5113795242351252
resnet18,cifar10,50,3.3628451893807765,3.5540089643164747,0.8453782445151817
resnet18,cifar10,80,3.1091137567937785,3.1109324422186915,0.5441525454867387
resnet18,cifar10,112,3.6417392386941314,3.161313544585488,1.5272202324038309
resnet18,imagenetmini,20,4.969439276982563,5.02620545084905,1.2652196366621054
resnet18,imagenetmini,50,5.574705232720065,5.002547614961493,1.475045736983195
resnet18,imagenetmini,80,4.661790547738679,4.278184943112667,1.5498075341424242
resnet18,imagenetmini,112,4.7335032374583985,4.63241361528405,0.5750488008333701
resnet18,synthetic,20,14.426131032106493,14.775055707087814,2.4896619894411454
resnet18,synthetic,50,12.101927855971985,11.2284453288909,1.2635468721590943
resnet18,synthetic,80,12.037976732178235,12.058005910231326,0.9925675346921343
resnet18,synthetic,112,11.943217323214034,12.551139655205702,1.7971714706711717
resnet18,tinyimagenet,20,7.657047800083802,6.67824166882802,2.2085829076933137
resnet18,tinyimagenet,50,7.544668779077481,6.735176070082737,2.619205605407664
resnet18,tinyimagenet,80,7.064648985627118,7.245109192439206,1.0309008521600258
resnet18,tinyimagenet,112,7.7279020080577,7.287150045836269,1.2951198294364787
squeezenet,cifar10,20,0.9436727171172716,1.0732973822617284,0.4671194622339551
squeezenet,cifar10,50,1.1255560975260543,1.0790527354255215,0.48045323798859096
squeezenet,cifar10,80,1.158503439889766,1.030884225722178,0.5499428932787114
squeezenet,cifar10,112,0.7223104763399422,0.8932884653945958,0.544462428322427
squeezenet,imagenetmini,20,6.276502856603041,6.232382094577615,0.7045041145761463
squeezenet,imagenetmini,50,7.05405977174941,6.862458476575252,1.5174021574351295
squeezenet,imagenetmini,80,6.938741301821928,7.072013606026273,0.8062408382922023
squeezenet,imagenetmini,112,6.575240975659123,6.204597966319125,1.8744428025365139
squeezenet,synthetic,20,3.2704300623219345,3.2552301202706126,0.6436976127306159
squeezenet,synthetic,50,3.621176784588234,3.8304252151283578,0.6728986795921725
squeezenet,synthetic,80,3.9961118005771032,3.5926397491523825,1.026288999359688
squeezenet,synthetic,112,3.933769787373458,3.8925242060059406,0.687387163637896
squeezenet,tinyimagenet,20,0.5976407489329386,0.1915276636550965,0.7619640262816701
squeezenet,tinyimagenet,50,1.6363565995342846,1.991734034821544,1.4872992367600553
squeezenet,tinyimagenet,80,2.9267570207654385,2.686804342429713,1.5050502486382198
squeezenet,tinyimagenet,112,1.17671366810056,1.1011585445912475,0.5100042405867224
