condition,tier,channel,AUC,PR_AUC,optimal_threshold,TPR_at_opt,FPR_at_opt,n_attack_reps,n_clean_reps
struct_prune_10,Tier1,timing,1.0,1.0,6.921,1.0,0.0,3,20
struct_prune_20,Tier1,timing,1.0,1.0,13.512,1.0,0.0,3,20
struct_prune_50,Tier1,timing,1.0,1.0,26.834,1.0,0.0,3,20
mag_prune_10,Tier1,timing,1.0,1.0,5.134,1.0,0.0,3,20
mag_prune_20,Tier1,timing,1.0,1.0,4.089,1.0,0.0,3,20
mag_prune_50,Tier1,timing,1.0,1.0,5.401,1.0,0.0,3,20
fgsm_0.03,Tier3,timing,0.58,0.4023,1.804,0.6,0.3,5,20
fgsm_0.10,Tier3,timing,0.91,0.5081,2.756,1.0,0.1,5,20
fgsm_0.30,Tier3,timing,1.0,1.0,4.678,1.0,0.0,5,20
fgsm_0.50,Tier3,timing,0.97,0.9196,2.524,1.0,0.15,5,20
backdoor_10px,Tier2,timing,0.8,0.2407,2.089,1.0,0.25,3,20
backdoor_20px,Tier2,timing,0.8667,0.3139,2.401,1.0,0.15,3,20
backdoor_50px,Tier2,timing,0.9,0.3778,2.734,1.0,0.1,3,20
