model,dataset,epsilon,rep,timing_D
mobilenetv2,cifar10,0.03,0,0.7973755035136315
mobilenetv2,cifar10,0.03,1,0.33133807504583196
mobilenetv2,cifar10,0.03,2,0.9586318868581991
mobilenetv2,cifar10,0.03,3,0.46876446023997803
mobilenetv2,cifar10,0.03,4,1.6311571620471892
mobilenetv2,cifar10,0.1,0,1.1635602749422496
mobilenetv2,cifar10,0.1,1,1.553033869068674
mobilenetv2,cifar10,0.1,2,0.37461174290330906
mobilenetv2,cifar10,0.1,3,1.7363915925584303
mobilenetv2,cifar10,0.1,4,3.7398668774209134
mobilenetv2,cifar10,0.3,0,1.3824175899646556
mobilenetv2,cifar10,0.3,1,2.7896794910572598
mobilenetv2,cifar10,0.3,2,2.4304072704793382
mobilenetv2,cifar10,0.3,3,5.750209202604721
mobilenetv2,cifar10,0.3,4,5.198558253643745
mobilenetv2,cifar10,0.5,0,5.27150831877858
mobilenetv2,cifar10,0.5,1,4.029088761980806
mobilenetv2,cifar10,0.5,2,4.321449966632191
mobilenetv2,cifar10,0.5,3,1.209096504503448
mobilenetv2,cifar10,0.5,4,1.392130661508059
mobilenetv2,tinyimagenet,0.03,0,0.49822057692881394
mobilenetv2,tinyimagenet,0.03,1,0.08626872851787955
mobilenetv2,tinyimagenet,0.03,2,0.0442948679210292
mobilenetv2,tinyimagenet,0.03,3,0.6962680438860338
mobilenetv2,tinyimagenet,0.03,4,0.15236440112344257
mobilenetv2,tinyimagenet,0.1,0,0.5422814357159793
mobilenetv2,tinyimagenet,0.1,1,0.3563630725243448
mobilenetv2,tinyimagenet,0.1,2,1.0277718330940397
mobilenetv2,tinyimagenet,0.1,3,0.059770999545591175
mobilenetv2,tinyimagenet,0.1,4,0.21220503252942766
mobilenetv2,tinyimagenet,0.3,0,0.4976889286616111
mobilenetv2,tinyimagenet,0.3,1,0.4108972155576286
mobilenetv2,tinyimagenet,0.3,2,0.35026706190551526
mobilenetv2,tinyimagenet,0.3,3,0.40442513579497846
mobilenetv2,tinyimagenet,0.3,4,0.6769037500377565
mobilenetv2,tinyimagenet,0.5,0,0.09589350098307643
mobilenetv2,tinyimagenet,0.5,1,1.0889864614931923
mobilenetv2,tinyimagenet,0.5,2,0.5174973367837858
mobilenetv2,tinyimagenet,0.5,3,0.6951711078329372
mobilenetv2,tinyimagenet,0.5,4,0.08330292295516517
mobilenetv2,imagenetmini,0.03,0,0.6018406422648097
mobilenetv2,imagenetmini,0.03,1,0.5104427307195003
mobilenetv2,imagenetmini,0.03,2,0.0688372909933237
mobilenetv2,imagenetmini,0.03,3,0.7536867456814341
mobilenetv2,imagenetmini,0.03,4,0.775128405838685
mobilenetv2,imagenetmini,0.1,0,0.35104705713074663
mobilenetv2,imagenetmini,0.1,1,0.011154530322062177
mobilenetv2,imagenetmini,0.1,2,6.337045312212377
mobilenetv2,imagenetmini,0.1,3,1.7306902739258117
mobilenetv2,imagenetmini,0.1,4,12.41201849202008
mobilenetv2,imagenetmini,0.3,0,0.5421062773118721
mobilenetv2,imagenetmini,0.3,1,0.7351878768222234
mobilenetv2,imagenetmini,0.3,2,0.1534110429973491
mobilenetv2,imagenetmini,0.3,3,0.29036300885308924
mobilenetv2,imagenetmini,0.3,4,0.13106768019705584
mobilenetv2,imagenetmini,0.5,0,0.38851067553165847
mobilenetv2,imagenetmini,0.5,1,0.14522861511377336
mobilenetv2,imagenetmini,0.5,2,0.7449955727980567
mobilenetv2,imagenetmini,0.5,3,0.29586759233825294
mobilenetv2,imagenetmini,0.5,4,1.9294419419846895
mobilenetv2,synthetic,0.03,0,0.5195764524764673
mobilenetv2,synthetic,0.03,1,0.7183163830239653
mobilenetv2,synthetic,0.03,2,0.4938108214442116
mobilenetv2,synthetic,0.03,3,1.322932633742828
mobilenetv2,synthetic,0.03,4,0.9414983621416647
mobilenetv2,synthetic,0.1,0,0.1662833204792987
mobilenetv2,synthetic,0.1,1,0.19444750870274477
mobilenetv2,synthetic,0.1,2,1.933461376344406
mobilenetv2,synthetic,0.1,3,0.18691180799276405
mobilenetv2,synthetic,0.1,4,2.4166817217776875
mobilenetv2,synthetic,0.3,0,2.228622854847283
mobilenetv2,synthetic,0.3,1,0.37250967271311447
mobilenetv2,synthetic,0.3,2,2.218909012174185
mobilenetv2,synthetic,0.3,3,1.2693577547102384
mobilenetv2,synthetic,0.3,4,0.34882023896840414
mobilenetv2,synthetic,0.5,0,1.2947970386064023
mobilenetv2,synthetic,0.5,1,2.1251141702231506
mobilenetv2,synthetic,0.5,2,0.7822564770709877
mobilenetv2,synthetic,0.5,3,1.052358482380832
mobilenetv2,synthetic,0.5,4,3.7395346419656903
squeezenet,cifar10,0.03,0,0.38214098779782063
squeezenet,cifar10,0.03,1,0.09827922561753628
squeezenet,cifar10,0.03,2,0.24296485521104122
squeezenet,cifar10,0.03,3,1.1378981853527101
squeezenet,cifar10,0.03,4,1.1908077704659754
squeezenet,cifar10,0.1,0,0.747168375738266
squeezenet,cifar10,0.1,1,0.35219785382224156
squeezenet,cifar10,0.1,2,0.20716841087288398
