model,dataset,epsilon,mean,median,std
efficientnet,cifar10,0.03,5.946442788751318,5.776928726406787,0.5717413033972615
efficientnet,cifar10,0.1,5.56129809870039,5.483406782013224,0.2740109774632241
efficientnet,cifar10,0.3,6.701705236870501,6.549232878193164,0.8463845761137575
efficientnet,cifar10,0.5,4.894299221995394,4.968979804106892,0.8491664060584015
efficientnet,imagenetmini,0.03,4.803972633650967,4.753527586865607,0.8056610005577048
efficientnet,imagenetmini,0.1,4.139072147789918,4.071706818163583,0.42615558209034
efficientnet,imagenetmini,0.3,3.2315368447411914,3.911974166254053,1.6000685512862065
efficientnet,imagenetmini,0.5,3.873015317543583,4.533851333567863,1.8718462778112288
efficientnet,synthetic,0.03,3.169748674867034,2.4038505781349264,1.7318607087477595
efficientnet,synthetic,0.1,3.5008352436464305,3.655170098205616,1.9580531922886688
efficientnet,synthetic,0.3,2.7801796482395718,2.791502621094025,1.0742288065763892
efficientnet,synthetic,0.5,2.677395086357626,2.7487860375035007,1.906839646184323
efficientnet,tinyimagenet,0.03,5.055788898194393,5.323491765516512,0.9274450196003207
efficientnet,tinyimagenet,0.1,4.910022640099352,5.028179715228845,1.4128780755764858
efficientnet,tinyimagenet,0.3,5.362621993652913,4.9787680040354845,1.1814249885841077
efficientnet,tinyimagenet,0.5,6.193858896301974,5.985425907917753,0.7522027428424484
mobilenetv2,cifar10,0.03,0.837453417540966,0.7973755035136315,0.5094949415368878
mobilenetv2,cifar10,0.1,1.7134928713787154,1.553033869068674,1.2477471290318038
mobilenetv2,cifar10,0.3,3.5102543615499444,2.78967949105726,1.8762166008095595
mobilenetv2,cifar10,0.5,3.2446548426806165,4.029088761980806,1.8342779857641938
mobilenetv2,imagenetmini,0.03,0.5419871630995505,0.6018406422648097,0.28619042785695864
mobilenetv2,imagenetmini,0.1,4.168391133122215,1.7306902739258117,5.254939829007323
mobilenetv2,imagenetmini,0.3,0.3704271772363179,0.2903630088530892,0.26140166591232933
mobilenetv2,imagenetmini,0.5,0.7008088795532861,0.3885106755316584,0.7213994577418007
mobilenetv2,synthetic,0.03,0.7992269305658274,0.7183163830239653,0.3437072628316403
mobilenetv2,synthetic,0.1,0.9795571470593801,0.1944475087027447,1.10468982260767
mobilenetv2,synthetic,0.3,1.287643906682645,1.2693577547102384,0.9316505522716892
mobilenetv2,synthetic,0.5,1.7988121620494124,1.2947970386064025,1.195563313442934
mobilenetv2,tinyimagenet,0.03,0.2954833236754398,0.1523644011234425,0.28682756097291223
mobilenetv2,tinyimagenet,0.1,0.43967847468187643,0.3563630725243448,0.37396406197897025
mobilenetv2,tinyimagenet,0.3,0.468036418391498,0.4108972155576286,0.12814614576288874
mobilenetv2,tinyimagenet,0.5,0.4961702660096313,0.5174973367837858,0.42490238649682
resnet18,cifar10,0.03,3.9789812357248673,4.046333892864665,0.5360351343136704
resnet18,cifar10,0.1,3.944165277439061,3.658453581935228,0.6335575440138976
resnet18,cifar10,0.3,3.6946115332015603,3.825485186344833,0.47562587398957346
resnet18,cifar10,0.5,3.1160371624888983,3.035414318182557,0.40235408284514096
resnet18,imagenetmini,0.03,5.866139457495461,5.773420099604721,1.3644188035877696
resnet18,imagenetmini,0.1,6.3420656251871215,6.700751257243892,0.7529564906489821
resnet18,imagenetmini,0.3,5.408198175061132,5.799409521364902,1.0117284466794947
resnet18,imagenetmini,0.5,5.503068664197019,5.43108340630616,0.4259320334633098
resnet18,synthetic,0.03,10.305547006126485,9.917431618158746,1.4470485234652841
resnet18,synthetic,0.1,12.411488668748596,12.295002308706122,0.8353102331806134
resnet18,synthetic,0.3,12.633444229657005,13.47728154533226,1.9954707179795952
resnet18,synthetic,0.5,13.88874953316606,13.990714010146544,3.0698410586757574
resnet18,tinyimagenet,0.03,8.40617000004241,8.13076730786382,1.546116564848721
resnet18,tinyimagenet,0.1,8.989304876474339,8.05854810532973,1.4604584811619572
resnet18,tinyimagenet,0.3,8.891140412252886,8.891665820324121,1.1013684206571068
resnet18,tinyimagenet,0.5,6.849878958785373,6.793468246904501,1.5821933339108518
squeezenet,cifar10,0.03,0.6104182048890167,0.3821409877978206,0.5158744914565675
squeezenet,cifar10,0.1,0.38870037001030455,0.3521978538222415,0.29069638536088266
squeezenet,cifar10,0.3,0.9143458862344378,0.5282029809059352,0.8601531582024011
squeezenet,cifar10,0.5,1.501455471577751,1.5789187821532498,0.9371947677922268
squeezenet,imagenetmini,0.03,1.65022093145832,1.6057730616308734,1.201275628028974
squeezenet,imagenetmini,0.1,1.8390818215761713,1.9730893170310504,1.3556911678931072
squeezenet,imagenetmini,0.3,3.340155784542317,3.915662980269232,1.583181117008985
squeezenet,imagenetmini,0.5,6.42449771858684,6.916446776027923,1.7280497382836197
squeezenet,synthetic,0.03,6.081335565483248,7.09689937457316,1.7107864538776165
squeezenet,synthetic,0.1,5.846837003439786,5.3746205481974565,0.727511561112104
squeezenet,synthetic,0.3,4.040461322919955,3.641077134703151,1.0822999401129385
squeezenet,synthetic,0.5,3.950867309501767,3.910908008359044,0.816566587741246
squeezenet,tinyimagenet,0.03,0.9232652338431899,0.8431781938455456,0.3866434843842936
squeezenet,tinyimagenet,0.1,0.7020008001557636,0.3700376370596047,0.5151978850523631
squeezenet,tinyimagenet,0.3,0.9914383183386617,0.7729714641518575,0.8338368176535662
squeezenet,tinyimagenet,0.5,1.0178992898933719,1.1571011132450255,0.9119931576028352
